io.github.adnanomerovic:toaster-example-library;io.github.adnanomerovic;toaster-example-library
org.opensmarthouse.core.bundles:org.opensmarthouse.core.model.item;org.opensmarthouse.core.bundles;org.opensmarthouse.core.model.item
org.opensmarthouse.core.bundles:org.opensmarthouse.core.automation.rest;org.opensmarthouse.core.bundles;org.opensmarthouse.core.automation.rest
org.opensmarthouse.core.bundles:org.opensmarthouse.core.automation.module.script.rulesupport;org.opensmarthouse.core.bundles;org.opensmarthouse.core.automation.module.script.rulesupport
org.opensmarthouse.core.bundles:org.opensmarthouse.core.automation.module.media;org.opensmarthouse.core.bundles;org.opensmarthouse.core.automation.module.media
org.opensmarthouse.core.bundles:org.opensmarthouse.core.automation.module.script;org.opensmarthouse.core.bundles;org.opensmarthouse.core.automation.module.script
org.opensmarthouse.core.bundles:org.opensmarthouse.core.config.serial;org.opensmarthouse.core.bundles;org.opensmarthouse.core.config.serial
org.opensmarthouse.core.bundles:org.opensmarthouse.core.config.net;org.opensmarthouse.core.bundles;org.opensmarthouse.core.config.net
org.opensmarthouse.core.bundles:org.opensmarthouse.core.config.dispatch;org.opensmarthouse.core.bundles;org.opensmarthouse.core.config.dispatch
org.opensmarthouse.core.bundles:org.opensmarthouse.core.config.discovery.upnp;org.opensmarthouse.core.bundles;org.opensmarthouse.core.config.discovery.upnp
org.opensmarthouse.core.bundles:org.opensmarthouse.core.config.discovery.usbserial.linuxsysfs;org.opensmarthouse.core.bundles;org.opensmarthouse.core.config.discovery.usbserial.linuxsysfs
org.opensmarthouse.core.bundles:org.opensmarthouse.core.config.discovery.usbserial;org.opensmarthouse.core.bundles;org.opensmarthouse.core.config.discovery.usbserial
org.opensmarthouse.core.bundles:org.opensmarthouse.core.config.discovery.mdns;org.opensmarthouse.core.bundles;org.opensmarthouse.core.config.discovery.mdns
org.opensmarthouse.core.bundles:org.opensmarthouse.core.config.core;org.opensmarthouse.core.bundles;org.opensmarthouse.core.config.core
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.jetty.certificate;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.jetty.certificate
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.transport.upnp;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.transport.upnp
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.transport.serial.rxtx.rfc2217;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.transport.serial.rxtx.rfc2217
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.transport.serial.rxtx;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.transport.serial.rxtx
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.transport.serial.javacomm;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.transport.serial.javacomm
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.transport.mqtt;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.transport.mqtt
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.voice;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.voice
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.ui;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.ui
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.swagger;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.swagger
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.sse;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.sse
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.sitemap;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.sitemap
org.opensmarthouse.core.bundles:org.opensmarthouse.core.ui.sitemap;org.opensmarthouse.core.bundles;org.opensmarthouse.core.ui.sitemap
org.opensmarthouse.core.bundles:org.opensmarthouse.core.model.sitemap;org.opensmarthouse.core.bundles;org.opensmarthouse.core.model.sitemap
org.opensmarthouse.core.bundles:org.opensmarthouse.core.model.core;org.opensmarthouse.core.bundles;org.opensmarthouse.core.model.core
org.opensmarthouse.core.bundles:org.opensmarthouse.core.ui;org.opensmarthouse.core.bundles;org.opensmarthouse.core.ui
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.item;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.item
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.optimize;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.optimize
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.mdns;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.mdns
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.log;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.log
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.core;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.core
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.auth;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.auth
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest.audio;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest.audio
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.monitor;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.monitor
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.http.auth.basic;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.http.auth.basic
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.http.auth;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.http.auth
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.console.karaf;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.console.karaf
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.console.rfc147;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.console.rfc147
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.console.eclipse;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.console.eclipse
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.transport.serial.console;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.transport.serial.console
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.transport.serial;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.transport.serial
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.transport.mdns;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.transport.mdns
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.bin2json;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.bin2json
org.opensmarthouse.core.bundles:org.opensmarthouse.core.util;org.opensmarthouse.core.bundles;org.opensmarthouse.core.util
org.opensmarthouse.core.bundles:org.opensmarthouse.core.auth.oauth2client;org.opensmarthouse.core.bundles;org.opensmarthouse.core.auth.oauth2client
org.opensmarthouse.core.bundles:org.opensmarthouse.core.auth.jaas;org.opensmarthouse.core.bundles;org.opensmarthouse.core.auth.jaas
org.opensmarthouse.core.bundles:org.opensmarthouse.core.transform;org.opensmarthouse.core.bundles;org.opensmarthouse.core.transform
org.opensmarthouse.core.bundles:org.opensmarthouse.core.thing.xml;org.opensmarthouse.core.bundles;org.opensmarthouse.core.thing.xml
org.opensmarthouse.core.bundles:org.opensmarthouse.core.type.core;org.opensmarthouse.core.bundles;org.opensmarthouse.core.type.core
org.opensmarthouse.core.bundles:org.opensmarthouse.core.thing.core;org.opensmarthouse.core.bundles;org.opensmarthouse.core.thing.core
org.opensmarthouse.core.bundles:org.opensmarthouse.core.semantics;org.opensmarthouse.core.bundles;org.opensmarthouse.core.semantics
org.opensmarthouse.core.bundles:org.opensmarthouse.core.persistence;org.opensmarthouse.core.bundles;org.opensmarthouse.core.persistence
org.opensmarthouse.core.bundles:org.opensmarthouse.core.item.core;org.opensmarthouse.core.bundles;org.opensmarthouse.core.item.core
org.opensmarthouse.core.bundles:org.opensmarthouse.core.net;org.opensmarthouse.core.bundles;org.opensmarthouse.core.net
org.opensmarthouse.core.bundles:org.opensmarthouse.core.id;org.opensmarthouse.core.bundles;org.opensmarthouse.core.id
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.rest;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.rest
org.opensmarthouse.core.bundles:org.opensmarthouse.core.extension.sample;org.opensmarthouse.core.bundles;org.opensmarthouse.core.extension.sample
org.opensmarthouse.core.bundles:org.opensmarthouse.core.binding.xml;org.opensmarthouse.core.bundles;org.opensmarthouse.core.binding.xml
org.opensmarthouse.core.bundles:org.opensmarthouse.core.config.xml;org.opensmarthouse.core.bundles;org.opensmarthouse.core.config.xml
org.opensmarthouse.core.bundles:org.opensmarthouse.core.binding;org.opensmarthouse.core.bundles;org.opensmarthouse.core.binding
org.opensmarthouse.core.bundles:org.opensmarthouse.core.voice;org.opensmarthouse.core.bundles;org.opensmarthouse.core.voice
org.opensmarthouse.core.bundles:org.opensmarthouse.core.audio;org.opensmarthouse.core.bundles;org.opensmarthouse.core.audio
org.opensmarthouse.core.bundles:org.opensmarthouse.core.io.http;org.opensmarthouse.core.bundles;org.opensmarthouse.core.io.http
org.opensmarthouse.core.bundles:org.opensmarthouse.core.karaf;org.opensmarthouse.core.bundles;org.opensmarthouse.core.karaf
org.opensmarthouse.core.bundles:org.opensmarthouse.core.auth;org.opensmarthouse.core.bundles;org.opensmarthouse.core.auth
org.opensmarthouse.core.bundles:org.opensmarthouse.core.event;org.opensmarthouse.core.bundles;org.opensmarthouse.core.event
org.opensmarthouse.core.bundles:org.opensmarthouse.core.common;org.opensmarthouse.core.bundles;org.opensmarthouse.core.common
org.opensmarthouse.core.bundles:org.opensmarthouse.core.storage;org.opensmarthouse.core.bundles;org.opensmarthouse.core.storage
org.opensmarthouse.core.bundles:org.opensmarthouse.core;org.opensmarthouse.core.bundles;org.opensmarthouse.core
org.opensmarthouse.core.bundles:org.opensmarthouse.core.reactor.bundles;org.opensmarthouse.core.bundles;org.opensmarthouse.core.reactor.bundles
org.opensmarthouse.core.bom:org.opensmarthouse.core.bom.compile-model;org.opensmarthouse.core.bom;org.opensmarthouse.core.bom.compile-model
org.opensmarthouse.core.bom:opensmarthouse-dependencies;org.opensmarthouse.core.bom;opensmarthouse-dependencies
org.opensmarthouse.core.bom:opensmarthouse-test;org.opensmarthouse.core.bom;opensmarthouse-test
org.opensmarthouse.core.bom:opensmarthouse;org.opensmarthouse.core.bom;opensmarthouse
org.opensmarthouse.core.bom:org.opensmarthouse.core.reactor.bom;org.opensmarthouse.core.bom;org.opensmarthouse.core.reactor.bom
org.opensmarthouse.core:org.opensmarthouse.core.reactor;org.opensmarthouse.core;org.opensmarthouse.core.reactor
com.mclarkdev.tools:docubuilder;com.mclarkdev.tools;docubuilder
com.taxonic.carml:carml-join-storage-mapdb;com.taxonic.carml;carml-join-storage-mapdb
com.taxonic.carml:carml-logical-source-resolver-jsonpath-jayway-jackson;com.taxonic.carml;carml-logical-source-resolver-jsonpath-jayway-jackson
com.github.icecooly:FastHttpClient;com.github.icecooly;FastHttpClient
com.woozooha:adonistrack-ui;com.woozooha;adonistrack-ui
com.seezoon.framework:seezoon-framework-spring-boot-starter;com.seezoon.framework;seezoon-framework-spring-boot-starter
com.seezoon.grpc:grpc-spring-boot-starter;com.seezoon.grpc;grpc-spring-boot-starter
com.github.boybeak:safe-poster;com.github.boybeak;safe-poster
io.github.chiclaim:router-compiler;io.github.chiclaim;router-compiler
io.github.chiclaim:router-annotation;io.github.chiclaim;router-annotation
org.askchapter.simplejdbc:simple-jdbc-server;org.askchapter.simplejdbc;simple-jdbc-server
io.chrisdavenport:patchy_2.12;io.chrisdavenport;patchy_2.12
io.chrisdavenport:patchy_2.13;io.chrisdavenport;patchy_2.13
io.chrisdavenport:patchy_sjs1_2.12;io.chrisdavenport;patchy_sjs1_2.12
io.chrisdavenport:patchy_sjs1_2.13;io.chrisdavenport;patchy_sjs1_2.13
io.chrisdavenport:clippette_2.12;io.chrisdavenport;clippette_2.12
io.chrisdavenport:clippette_2.13;io.chrisdavenport;clippette_2.13
io.chrisdavenport:clippette_3;io.chrisdavenport;clippette_3
io.chrisdavenport:clippette_sjs1_2.12;io.chrisdavenport;clippette_sjs1_2.12
io.chrisdavenport:clippette_sjs1_2.13;io.chrisdavenport;clippette_sjs1_2.13
io.chrisdavenport:clippette_sjs1_3;io.chrisdavenport;clippette_sjs1_3
de.lolhens:remote-io-core_2.12;de.lolhens;remote-io-core_2.12
de.lolhens:remote-io-core_2.13;de.lolhens;remote-io-core_2.13
de.lolhens:remote-io-core_3;de.lolhens;remote-io-core_3
de.lolhens:remote-io-core_sjs1_2.12;de.lolhens;remote-io-core_sjs1_2.12
de.lolhens:remote-io-core_sjs1_2.13;de.lolhens;remote-io-core_sjs1_2.13
de.lolhens:remote-io-core_sjs1_3;de.lolhens;remote-io-core_sjs1_3
de.lolhens:remote-io-http4s_2.12;de.lolhens;remote-io-http4s_2.12
de.lolhens:remote-io-http4s_2.13;de.lolhens;remote-io-http4s_2.13
de.lolhens:remote-io-http4s_3;de.lolhens;remote-io-http4s_3
de.lolhens:remote-io-http4s_sjs1_2.12;de.lolhens;remote-io-http4s_sjs1_2.12
de.lolhens:remote-io-http4s_sjs1_2.13;de.lolhens;remote-io-http4s_sjs1_2.13
de.lolhens:remote-io-http4s_sjs1_3;de.lolhens;remote-io-http4s_sjs1_3
com.plusmobileapps:saved-state-flow-hilt;com.plusmobileapps;saved-state-flow-hilt
io.chrisdavenport:os-detect_2.12;io.chrisdavenport;os-detect_2.12
io.chrisdavenport:os-detect_2.13;io.chrisdavenport;os-detect_2.13
io.chrisdavenport:os-detect_3;io.chrisdavenport;os-detect_3
io.chrisdavenport:os-detect_sjs1_2.13;io.chrisdavenport;os-detect_sjs1_2.13
io.chrisdavenport:os-detect_sjs1_3;io.chrisdavenport;os-detect_sjs1_3
io.chrisdavenport:os-detect_sjs1_2.12;io.chrisdavenport;os-detect_sjs1_2.12
io.github.asharapov:spreadsheet-reports;io.github.asharapov;spreadsheet-reports
org.bitbucket.team99array:enveuandroidclient;org.bitbucket.team99array;enveuandroidclient
com.github.hi-fi:httpclient;com.github.hi-fi;httpclient
org.wso2.ei:tests;org.wso2.ei;tests
com.pajato.edgar:edgar-core;com.pajato.edgar;edgar-core
io.github.beokbeok:beoklibrary;io.github.beokbeok;beoklibrary
com.pajato.isaac:isaac-core;com.pajato.isaac;isaac-core
com.nginflow:bpmn-orchestrator-core;com.nginflow;bpmn-orchestrator-core
io.gitee.seening:seen-core;io.gitee.seening;seen-core
io.github.ashish19goyal:junit-load-test;io.github.ashish19goyal;junit-load-test
com.github.marketsquare:robotframework-dblibrary;com.github.marketsquare;robotframework-dblibrary
net.nextpulse:jadmin;net.nextpulse;jadmin
com.nbottarini:asimov-environment;com.nbottarini;asimov-environment
city.smartb.i2:user-f2-password-reset;city.smartb.i2;user-f2-password-reset
city.smartb.i2:error-domain;city.smartb.i2;error-domain
city.smartb.i2:error-domain-jvm;city.smartb.i2;error-domain-jvm
city.smartb.i2:error-domain-js;city.smartb.i2;error-domain-js
city.smartb.i2:spring-boot-auth-test;city.smartb.i2;spring-boot-auth-test
io.github.luqinx:ami;io.github.luqinx;ami
io.siddhi.extension.store.rdbms:siddhi-store-rdbms-osgi-tests;io.siddhi.extension.store.rdbms;siddhi-store-rdbms-osgi-tests
com.github.cloudecho:dubbo-zipkin-spring-boot-starter;com.github.cloudecho;dubbo-zipkin-spring-boot-starter
io.siddhi.extension.store.rdbms:siddhi-store-rdbms-tests-distribution;io.siddhi.extension.store.rdbms;siddhi-store-rdbms-tests-distribution
io.siddhi.extension.store.rdbms:siddhi-store-rdbms-tests;io.siddhi.extension.store.rdbms;siddhi-store-rdbms-tests
org.goots:jdownloader;org.goots;jdownloader
io.streamnative.pulsar.tracing:opentracing-pulsar-client;io.streamnative.pulsar.tracing;opentracing-pulsar-client
io.streamnative.pulsar.tracing:pulsar-tracing;io.streamnative.pulsar.tracing;pulsar-tracing
io.github.luqinx:interceptor;io.github.luqinx;interceptor
com.woozooha:adonistrack-springweb;com.woozooha;adonistrack-springweb
com.deepleaper:alibctradecommon-without-utdid;com.deepleaper;alibctradecommon-without-utdid
com.jmuscles:jmuscles-datasource;com.jmuscles;jmuscles-datasource
com.jmuscles:jmuscles-rabbitmq;com.jmuscles;jmuscles-rabbitmq
com.jmuscles:jmuscles-rabbitmq-producer;com.jmuscles;jmuscles-rabbitmq-producer
com.jmuscles:jmuscles-processing;com.jmuscles;jmuscles-processing
com.jmuscles:jmuscles-rabbitmq-consumer;com.jmuscles;jmuscles-rabbitmq-consumer
com.jmuscles:jmuscles-spring;com.jmuscles;jmuscles-spring
com.jmuscles:jmuscles-processing-schema;com.jmuscles;jmuscles-processing-schema
com.ensody.reactivestate:reactivestate-compose-android-debug;com.ensody.reactivestate;reactivestate-compose-android-debug
com.ensody.reactivestate:reactivestate-android-debug;com.ensody.reactivestate;reactivestate-android-debug
io.github.luqinx:abkit;io.github.luqinx;abkit
com.ftpix:webwatcher;com.ftpix;webwatcher
com.ftpix:sparknotation;com.ftpix;sparknotation
io.github.sonicdjgh:unity;io.github.sonicdjgh;unity
io.github.sonicdjgh:native;io.github.sonicdjgh;native
com.github.qlone:spider-terminator-core;com.github.qlone;spider-terminator-core
dev.shreyaspatil.MaterialDialog:MaterialDialog;dev.shreyaspatil.MaterialDialog;MaterialDialog
com.github.harmonicinc-com:extension-jobdispatcher;com.github.harmonicinc-com;extension-jobdispatcher
com.github.harmonicinc-com:extension-gvr;com.github.harmonicinc-com;extension-gvr
org.loesak.springframework.security.openfeign:spring-security-openfeign;org.loesak.springframework.security.openfeign;spring-security-openfeign
com.fortytwobinary:slimboot-archetype;com.fortytwobinary;slimboot-archetype
io.streamnative.pulsar.tracing:pulsar-tracing;io.streamnative.pulsar.tracing;pulsar-tracing
io.github.luqinx:interceptor;io.github.luqinx;interceptor
com.woozooha:adonistrack-springweb;com.woozooha;adonistrack-springweb
com.deepleaper:alibctradecommon-without-utdid;com.deepleaper;alibctradecommon-without-utdid
com.jmuscles:jmuscles-datasource;com.jmuscles;jmuscles-datasource
com.jmuscles:jmuscles-rabbitmq;com.jmuscles;jmuscles-rabbitmq
com.jmuscles:jmuscles-rabbitmq-producer;com.jmuscles;jmuscles-rabbitmq-producer
com.jmuscles:jmuscles-processing;com.jmuscles;jmuscles-processing
com.jmuscles:jmuscles-rabbitmq-consumer;com.jmuscles;jmuscles-rabbitmq-consumer
com.jmuscles:jmuscles-spring;com.jmuscles;jmuscles-spring
com.jmuscles:jmuscles-processing-schema;com.jmuscles;jmuscles-processing-schema
com.ensody.reactivestate:reactivestate-compose-android-debug;com.ensody.reactivestate;reactivestate-compose-android-debug
com.ensody.reactivestate:reactivestate-android-debug;com.ensody.reactivestate;reactivestate-android-debug
io.github.luqinx:abkit;io.github.luqinx;abkit
com.ftpix:webwatcher;com.ftpix;webwatcher
com.ftpix:sparknotation;com.ftpix;sparknotation
io.github.sonicdjgh:unity;io.github.sonicdjgh;unity
io.github.sonicdjgh:native;io.github.sonicdjgh;native
com.github.qlone:spider-terminator-core;com.github.qlone;spider-terminator-core
dev.shreyaspatil.MaterialDialog:MaterialDialog;dev.shreyaspatil.MaterialDialog;MaterialDialog
com.github.harmonicinc-com:extension-jobdispatcher;com.github.harmonicinc-com;extension-jobdispatcher
com.github.harmonicinc-com:extension-gvr;com.github.harmonicinc-com;extension-gvr
org.loesak.springframework.security.openfeign:spring-security-openfeign;org.loesak.springframework.security.openfeign;spring-security-openfeign
com.fortytwobinary:slimboot-archetype;com.fortytwobinary;slimboot-archetype
com.kazurayam:webdriverfactory;com.kazurayam;webdriverfactory
fr.valentin-henry:blaireau-dsl_2.13;fr.valentin-henry;blaireau-dsl_2.13
fr.valentin-henry:blaireau-newtype_2.13;fr.valentin-henry;blaireau-newtype_2.13
fr.valentin-henry:blaireau-refined_2.13;fr.valentin-henry;blaireau-refined_2.13
fr.valentin-henry:blaireau-circe_2.13;fr.valentin-henry;blaireau-circe_2.13
ai.whylabs:whylogs-spark_3.1.1-scala_2.12;ai.whylabs;whylogs-spark_3.1.1-scala_2.12
org.eclipse.mylyn.docs:wikitext.core.repository;org.eclipse.mylyn.docs;wikitext.core.repository
city.smartb.f2:f2-client;city.smartb.f2;f2-client
city.smartb.f2:f2-client-jvm;city.smartb.f2;f2-client-jvm
city.smartb.f2:f2-client-js;city.smartb.f2;f2-client-js
io.opentelemetry.instrumentation:opentelemetry-servlet-javax-common;io.opentelemetry.instrumentation;opentelemetry-servlet-javax-common
io.opentelemetry.instrumentation:opentelemetry-servlet-common;io.opentelemetry.instrumentation;opentelemetry-servlet-common
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-log4j-2.7;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-log4j-2.7
io.opentelemetry.instrumentation:opentelemetry-log4j-2.13.2;io.opentelemetry.instrumentation;opentelemetry-log4j-2.13.2
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-log4j-2.13.2;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-log4j-2.13.2
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-log4j-1.2;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-log4j-1.2
io.opentelemetry.instrumentation:opentelemetry-jsf-common;io.opentelemetry.instrumentation;opentelemetry-jsf-common
io.opentelemetry.instrumentation:opentelemetry-jaxws-2.0-cxf-3.0;io.opentelemetry.instrumentation;opentelemetry-jaxws-2.0-cxf-3.0
io.opentelemetry.instrumentation:opentelemetry-jaxws-2.0-axis2-1.6;io.opentelemetry.instrumentation;opentelemetry-jaxws-2.0-axis2-1.6
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-internal-proxy;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-internal-proxy
io.opentelemetry.instrumentation:opentelemetry-ratpack-1.4;io.opentelemetry.instrumentation;opentelemetry-ratpack-1.4
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-opentelemetry-api-metrics-1.0;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-opentelemetry-api-metrics-1.0
io.opentelemetry.instrumentation:opentelemetry-logback-1.0;io.opentelemetry.instrumentation;opentelemetry-logback-1.0
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-logback-1.0;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-logback-1.0
net.sourceforge.openutils:openutils-log4j;net.sourceforge.openutils;openutils-log4j
org.webjars.npm:vuex-pathify;org.webjars.npm;vuex-pathify
land.sungbin:keyboardbeautify;land.sungbin;keyboardbeautify
org.polynote:polynote-env_2.13;org.polynote;polynote-env_2.13
org.polynote:polynote-env_2.12;org.polynote;polynote-env_2.12
org.polynote:polynote-kernel_2.11;org.polynote;polynote-kernel_2.11
org.polynote:polynote-macros_2.13;org.polynote;polynote-macros_2.13
org.polynote:polynote-macros_2.12;org.polynote;polynote-macros_2.12
org.polynote:polynote-spark-runtime_2.12;org.polynote;polynote-spark-runtime_2.12
org.polynote:polynote_2.11;org.polynote;polynote_2.11
org.polynote:polynote-runtime_2.11;org.polynote;polynote-runtime_2.11
org.polynote:polynote-spark-runtime_2.13;org.polynote;polynote-spark-runtime_2.13
org.polynote:polynote-spark_2.12;org.polynote;polynote-spark_2.12
org.polynote:polynote-kernel_2.13;org.polynote;polynote-kernel_2.13
org.polynote:polynote-server_2.11;org.polynote;polynote-server_2.11
org.polynote:polynote-spark_2.13;org.polynote;polynote-spark_2.13
org.polynote:polynote-env_2.11;org.polynote;polynote-env_2.11
org.polynote:polynote-kernel_2.12;org.polynote;polynote-kernel_2.12
org.polynote:polynote-macros_2.11;org.polynote;polynote-macros_2.11
org.polynote:polynote-spark_2.11;org.polynote;polynote-spark_2.11
org.polynote:polynote_2.12;org.polynote;polynote_2.12
org.polynote:polynote_2.13;org.polynote;polynote_2.13
org.polynote:polynote-runtime_2.13;org.polynote;polynote-runtime_2.13
org.polynote:polynote-server_2.13;org.polynote;polynote-server_2.13
org.polynote:polynote-spark-runtime_2.11;org.polynote;polynote-spark-runtime_2.11
org.polynote:polynote-runtime_2.12;org.polynote;polynote-runtime_2.12
org.polynote:polynote-server_2.12;org.polynote;polynote-server_2.12
com.nbottarini:asimov-time;com.nbottarini;asimov-time
com.nbottarini:asimov-kotlin-extensions;com.nbottarini;asimov-kotlin-extensions
nl.gogognome:gogotextsearch;nl.gogognome;gogotextsearch
net.earthcomputer.multiconnect:multiconnect-api;net.earthcomputer.multiconnect;multiconnect-api
org.zalando:problem-gson;org.zalando;problem-gson
org.zalando:problem;org.zalando;problem
org.zalando:problem-parent;org.zalando;problem-parent
org.zalando:jackson-datatype-problem;org.zalando;jackson-datatype-problem
tz.co.asoft:kotlinx-coroutines-test-watchosx86;tz.co.asoft;kotlinx-coroutines-test-watchosx86
tz.co.asoft:kotlinx-coroutines-test-watchosx64;tz.co.asoft;kotlinx-coroutines-test-watchosx64
tz.co.asoft:kotlinx-coroutines-test-watchosarm64;tz.co.asoft;kotlinx-coroutines-test-watchosarm64
tz.co.asoft:kotlinx-coroutines-test-watchosarm32;tz.co.asoft;kotlinx-coroutines-test-watchosarm32
tz.co.asoft:kotlinx-coroutines-test-tvosx64;tz.co.asoft;kotlinx-coroutines-test-tvosx64
tz.co.asoft:kotlinx-coroutines-test-tvosarm64;tz.co.asoft;kotlinx-coroutines-test-tvosarm64
tz.co.asoft:kotlinx-coroutines-test-macosx64;tz.co.asoft;kotlinx-coroutines-test-macosx64
tz.co.asoft:kotlinx-coroutines-test-linuxx64;tz.co.asoft;kotlinx-coroutines-test-linuxx64
tz.co.asoft:kotlinx-coroutines-test;tz.co.asoft;kotlinx-coroutines-test
tz.co.asoft:kotlinx-coroutines-test-jvm;tz.co.asoft;kotlinx-coroutines-test-jvm
tz.co.asoft:kotlinx-coroutines-test-js;tz.co.asoft;kotlinx-coroutines-test-js
tz.co.asoft:kotlinx-coroutines-test-iosx64;tz.co.asoft;kotlinx-coroutines-test-iosx64
tz.co.asoft:kotlinx-coroutines-test-iosarm64;tz.co.asoft;kotlinx-coroutines-test-iosarm64
tz.co.asoft:kotlinx-coroutines-test-iosarm32;tz.co.asoft;kotlinx-coroutines-test-iosarm32
io.github.singlerr:DiscordBot;io.github.singlerr;DiscordBot
io.github.yusufsdiscordbot.realyusufismailcore:minecraft;io.github.yusufsdiscordbot.realyusufismailcore;minecraft
pt.rcaap:cienciavitae.model;pt.rcaap;cienciavitae.model
io.vacco.volach:vl-fprint-pk;io.vacco.volach;vl-fprint-pk
io.vacco.volach:vl-core;io.vacco.volach;vl-core
software.reloadly:java-sdk-giftcard;software.reloadly;java-sdk-giftcard
software.reloadly:java-sdk-airtime;software.reloadly;java-sdk-airtime
software.reloadly:java-sdk-authentication;software.reloadly;java-sdk-authentication
software.reloadly:java-sdk-core;software.reloadly;java-sdk-core
software.reloadly:java-sdk;software.reloadly;java-sdk
io.geewit.utils.web:gw-web-utils;io.geewit.utils.web;gw-web-utils
cn.bctools:jvs-design-api;cn.bctools;jvs-design-api
cn.bctools:jvs-design;cn.bctools;jvs-design
cn.bctools:jvs-apply;cn.bctools;jvs-apply
cn.bctools:jvs-gateway-parent;cn.bctools;jvs-gateway-parent
cn.bctools:jvs-starter-mongodb;cn.bctools;jvs-starter-mongodb
cn.bctools:jvs-starter-word;cn.bctools;jvs-starter-word
cn.bctools:jvs-starter-wps;cn.bctools;jvs-starter-wps
cn.bctools:jvs-starter-generator;cn.bctools;jvs-starter-generator
cn.bctools:jvs-starter-rabbit;cn.bctools;jvs-starter-rabbit
